entry_id,entry_name,max_dim,max_dim_value,num_not_answered
400,Singaporean Mega-Churches,dim0,1.0,0
424,Achaemenid Religion,dim0,1.0,0
563,"Gaddi, a Hindu community of the Western Himalayas",dim0,1.0,0
896,Sannō Shintō,dim0,1.0,0
928,The Ghost Dance Movement and the Lakota Sioux,dim0,1.0,0
946,Nyingma (rnying ma),dim0,1.0,0
971,Gāṇapatya,dim0,1.0,0
995,Tamil Neo-Saivism,dim0,1.0,0
1129,Ancient Thessalians,dim0,1.0,0
1322,Pagans under the Emperor Julian,dim0,1.0,0
1560,‘Ara’is al-Majalis fi Qasas al-Anbiya' عَرَائِسُ الْمَجَالِسِ فِي قَصَصِ الْأَنْبِيَاءِ,dim0,1.0,0
1695,"Xiaojing ""Classic of Filial Piety""",dim0,1.0,0
1778,Le Conflit d'Adam et Eve contre Satan ou The first and the Second hidden book of Adam and Eve صراع آدم وحوّاء ضدّ الشيطان,dim0,1.0,0
2009,Ancient Arcadians,dim0,1.0,0
441,Worshipers of Śītalā,dim0,1.0,1
441,Worshipers of Śītalā,dim0,1.0,1
1013,Estado da Índia Renegades in Deccan,dim0,1.0,1
1071,Digital Shinto Communities,dim0,1.0,1
1898,Shurpu Incantation Series,dim0,1.0,1
1993,Ancient Boeotians,dim0,1.0,1
632,Local Religion at Selinous,dim0,1.0,2
1290,4QInstruction,dim0,1.0,4
749,Korean shamanism,dim0,1.0,5
422,Demeter Cult,dim0,1.0,8
1522,Tijaniyya Tariqa الطريقة التجانية,dim0,1.0,8
228,Late Chosŏn Korea,dim0,1.0,9
383,Varkaris,dim0,0.99,0
439,Śaiva Magic,dim0,0.99,0
492,Roman Divination,dim0,0.99,0
714,Tamil Śaiva Bhakti,dim0,0.99,0
860,Kimpa Vita,dim0,0.99,0
960,Bön (Bon),dim0,0.99,0
921,Bhils,dim0,0.99,1
775,Jainism,dim0,0.98,0
1293,The Zapotec or Ben 'Zaa (The Cloud People),dim0,0.98,0
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,dim0,0.98,2
1582,Cult of Bona Dea,dim0,0.98,3
1083,Drukpa Kagyü School (Bhutan),dim0,0.97,2
2071,"Songs of the Sage (4Q510, 4Q511)",dim0,0.97,2
1352,Śākadvīpīya Brāhmaṇas,dim0,0.96,0
439,Śaiva Magic,dim0,0.94,0
1349,The Dingxiang Wang Cult,dim0,0.92,8
1191,Religion in Greco-Roman Alexandria,dim0,0.92,10
1265,Mozi 墨子,dim0,0.9,0
470,Archaic Spartan Cults,dim0,0.89,9
988,Churches of Christ- United States,dim0,0.88,1
1546,4QPseudo Ezekiel,dim0,0.88,4
623,Diasporic American Hinduism,dim0,0.85,0
230,Religion in Mesopotamia,dim0,0.85,4
390,Dasara,dim0,0.84,0
738,Ancient Egyptian,dim0,0.84,0
204,Han Confucianism,dim0,0.81,12
1661,Ludlul Bel Nemeqi,dim0,0.77,12
933,Marcionites,dim0,0.76,0
918,Fangshi,dim0,0.71,12
763,Moriori,dim0,0.7,13
1624,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),dim0,0.69,5
581,Mentawai (Rereiket),dim0,0.68,9
1471,Book of Ezekiel,dim0,0.67,7
423,Mediterranean,dim0,0.59,18
2263,"lettre au disciple Ayyuha-l-walad par Al Ghazâlî رسالة ""ايّها الولد لأبي حامد الغزالي",dim0,0.57,2
1283,Butonese Muslims,dim0,0.56,12
211,Amarna Religion,dim0,0.53,7
23,Late Shang Religion,dim0,0.4,14
957,Spartan Religion,dim0,0.37,14
997,Ancient Egypt - Early Dynastic Period,dim0,0.32,16
1928,(The gathering of the Messenger of God does not falter)وجمع رسول الله لا يتشعث,dim1,0.88,0
486,Church of Jesus Christ of Latter-day Saints (early),dim1,0.82,0
525,Church of Jesus Christ of Latter-day Saints (modern),dim1,0.82,0
654,12th-13th c Cistercians,dim1,0.82,0
688,Darul Uloom Deoband,dim1,0.82,0
843,Bnay Qyāmā and Bnāt Qyāmā,dim1,0.82,0
873,The Branch Davidians,dim1,0.82,0
884,Sub Saharan Africa Pentecostalism,dim1,0.82,0
886,Pushtimarg (The Path of Grace) in the UK and Gujarat,dim1,0.82,0
891,Peruvian Mormons,dim1,0.82,0
906,The Church of England,dim1,0.82,0
943,Moravian Missionaries in Nunatsiavut,dim1,0.82,0
965,Pachomian Monasticism,dim1,0.82,0
1038,Sino-Muslims in Qing China,dim1,0.82,0
1127,Anglican Church of Korea,dim1,0.82,0
1178,Modern Mystery School (MMS),dim1,0.82,0
1247,Exovedate,dim1,0.82,0
1371,Twelver Shi'ism in post-revolutionary Iran,dim1,0.82,0
1544,Ukrainian Greek Catholic Church,dim1,0.82,0
1570,Tamil Muslims,dim1,0.82,0
1573,Al-Risala (The Message) الرسالة,dim1,0.82,0
1628,Bad' al-Khalq wa Qasas al-Anbiya' of Kisa'i كتاب بدء الخلق وقصص الأنبياء للكسائي,dim1,0.82,0
1652,Le Livre de al-'Ibana 'an 'Usul al-Diyana de al-Ash'ari كتاب الإبانة عن أصول الديانة للأشعري,dim1,0.82,0
1654,Le Parti du Mouvement de La Nahda حزب حركة النهضة,dim1,0.82,0
1708,الإباضية  Al-Ibadia,dim1,0.82,0
1709,Almohads (al-Muwaḥḥidūn),dim1,0.82,0
1741,Methodism in Zimbabwe or Methodist Church in Zimbabwe,dim1,0.82,0
1779,المذهب المالكي بالبلاد التونسية,dim1,0.82,0
1780,الطريقة الشاذلية في تونس,dim1,0.82,0
1781,المذهب الشيعي في تونس,dim1,0.82,0
1795,‘Adhwā‘ Al-Bayān fi ‘Idhāḥ Al-Qur‘ān bi Al-Qur‘ān: أضواء البيان في إيضاح القرآن بالقرآن,dim1,0.82,0
1805,Wahhabisme الوهّابيّة,dim1,0.82,0
1820,"Cherubim and Seraphim Church Unification, Campus Fellowship",dim1,0.82,0
1835,"The Cherubim and Seraphim Church of Zion, Ugbonla",dim1,0.82,0
1872,"The Holy Apostles Community, Ayetoro",dim1,0.82,0
1897,"The Episcopal Church of Cherubim and Seraphim, Zion Pepe",dim1,0.82,0
